index,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
19,0,27,0,0,0,0,2,1,451,0,0,1,,,66.66666667,0,0,0,1,0,0,0,0,3932,0,927214,2,0,219,0,legitimate
20,0,63,0,0,0,1,3,1,70,1,0,1,,,92.59259259,0,0,0,1,0,0,0,0,8759,0,26017,5,0,147,0,legitimate
21,0,66,1,0,0,0,2,0,926,0,0,0,Suspicious,Legitimate,76.92307692,0,0,0,0,0,0,0,0,5647,0,1040,6,0,77,0,legitimate
22,0,40,0,0,0,0,2,1,277,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,1184,0,0,0,1,13,0,phishing
23,0,48,0,0,0,1,1,1,541,0,0,1,,,100.0,0,0,0,1,0,0,0,0,3476,0,4672316,4,0,59,0,legitimate
24,1,126,0,0,0,1,3,1,25,0,0,1,,,100.0,0,0,0,1,0,0,0,0,3993,0,5707171,0,1,51,0,phishing
25,0,41,1,0,0,0,2,0,373,1,0,0,,,46.15384615,0,0,0,0,0,0,0,0,7296,0,0,5,1,21,0,phishing
26,0,36,0,0,0,0,2,0,315,0,0,0,Phishing,Phishing,100.0,0,0,0,0,0,0,0,0,6989,0,2203390,4,0,115,0,legitimate
27,0,72,0,0,0,0,2,1,634,1,0,1,,,66.66666667,0,0,0,1,0,0,0,0,4845,0,5964,5,0,68,0,legitimate
28,1,68,0,0,0,0,3,1,25,0,0,1,,,100.0,0,0,0,1,0,0,0,0,3993,0,5707171,0,1,51,0,phishing
29,1,163,0,1,0,0,3,1,0,1,0,1,Legitimate,Legitimate,66.66666667,0,0,0,0,0,0,0,0,-1,0,0,0,1,31,0,phishing
30,0,26,0,0,0,0,2,1,290,0,0,1,Legitimate,Legitimate,92.85714286,0,0,0,0,0,0,0,0,1170,0,390047,4,0,95,0,legitimate
31,1,64,0,0,0,0,2,1,224,1,0,1,,,20.0,0,0,0,1,0,0,0,0,1237,0,0,1,1,36,0,phishing
32,1,36,1,0,0,0,3,1,217,1,0,1,,,0.0,0,0,0,0,0,0,0,0,5627,0,0,5,1,21,0,phishing
33,0,61,1,0,0,0,2,1,251,0,0,1,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,3767,0,9264543,0,1,3,0,phishing
34,1,66,0,0,0,0,2,0,911,1,0,0,,,0.0,0,0,0,0,0,0,0,0,9316,0,13,7,0,105,0,legitimate
35,0,35,0,0,0,0,2,0,125,0,0,0,Suspicious,Legitimate,0.0,0,0,0,0,0,0,0,0,7849,0,0,4,0,16,0,legitimate
36,0,113,0,0,0,0,3,1,97,1,0,1,,,96.66666667,0,0,0,0,0,0,0,0,3920,0,0,2,0,417,0,phishing
37,0,41,0,0,0,0,2,1,1049,0,0,1,Legitimate,Legitimate,40.0,0,0,0,1,0,0,0,0,5159,0,0,8,0,27,0,legitimate
38,0,23,0,0,0,1,2,1,78,0,0,1,,,100.0,0,0,0,0,0,0,0,0,-1,0,74862,3,0,160,0,legitimate
39,0,31,0,0,0,0,2,1,248,0,0,1,Legitimate,Suspicious,72.22222222,0,0,0,0,0,0,0,0,5230,0,5828226,7,0,183,0,legitimate
40,0,84,0,0,0,1,2,1,162,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,3125,0,0,1,1,23,0,phishing
41,0,29,0,0,0,0,2,1,88,0,0,1,,,100.0,0,0,0,0,0,0,0,0,5026,0,544886,4,1,1,0,phishing
42,1,98,0,0,0,1,2,1,257,1,0,1,Legitimate,Legitimate,40.0,0,0,0,2,0,0,0,0,2300,0,0,2,1,22,0,phishing
43,0,15,0,0,0,0,1,1,0,0,0,1,Suspicious,Legitimate,94.44444444,0,0,0,0,0,0,0,0,2580,0,1671658,2,0,35,0,legitimate
44,0,65,0,0,0,0,2,1,3305,0,0,1,Suspicious,Legitimate,100.0,0,0,0,1,0,0,0,0,5825,0,7698,7,0,265,0,legitimate
45,0,131,1,0,0,1,2,0,381,1,0,0,,Suspicious,7.692307692000001,0,0,0,1,0,0,0,0,8019,0,0,4,1,26,0,phishing
46,0,50,0,0,0,1,2,0,197,1,0,0,Legitimate,Legitimate,31.25,0,0,0,0,0,0,0,0,7839,0,607,6,0,279,0,legitimate
47,0,51,0,0,0,0,2,1,250,1,0,1,,,0.0,0,0,0,1,0,0,0,0,2306,0,0,0,1,7,0,phishing
48,0,45,0,0,0,0,3,0,0,0,0,0,,,94.73684211,0,0,0,0,1,0,0,0,-1,0,6431,6,0,420,0,legitimate
49,1,159,0,0,0,0,2,1,325,0,0,1,Legitimate,Legitimate,100.0,0,0,0,1,0,0,0,0,1500,0,0,0,1,13,0,phishing
50,1,44,0,0,0,1,2,0,1278,1,0,0,Phishing,Legitimate,93.75,0,0,0,0,0,0,0,0,2739,0,11657,6,1,43,0,phishing
51,0,103,0,1,0,0,3,0,231,1,0,0,,,45.45454545,0,0,0,0,0,0,0,0,134,0,1508317,2,1,64,0,phishing
52,0,46,0,0,0,0,3,1,517,0,0,1,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,7802,0,0,5,1,0,0,phishing
53,0,45,0,0,0,0,2,0,902,0,0,0,Phishing,Legitimate,100.0,0,0,0,0,0,0,0,0,7133,0,12,7,0,253,0,legitimate
54,0,51,0,0,0,0,3,1,137,1,0,1,,,28.57142857,0,0,0,4,0,0,0,0,1690,0,0,2,1,91,0,phishing
55,0,38,0,0,0,0,3,1,237,1,0,1,,,82.85714286,0,0,0,1,0,0,0,0,1588,0,0,0,1,184,0,phishing
56,1,81,0,0,0,0,2,1,77,0,0,1,,,100.0,0,0,0,1,0,0,0,0,5767,0,0,2,1,30,0,phishing
57,0,112,1,0,0,0,2,1,133,1,0,1,Suspicious,Legitimate,52.63157895,0,0,0,1,0,0,0,0,7615,0,2190,5,0,83,0,legitimate
58,0,39,0,0,0,0,2,0,2974,1,0,0,,,50.0,0,0,0,1,0,0,0,0,8348,0,1,10,0,27,0,phishing
59,0,99,0,0,0,0,2,0,2974,1,0,0,,,33.33333333,0,0,0,0,0,0,0,0,8348,0,1,10,1,27,0,phishing
60,0,45,0,0,0,0,2,0,315,0,0,0,,,100.0,0,0,0,1,0,0,0,0,6989,0,2203390,4,1,118,0,legitimate
61,0,60,1,0,0,1,3,1,228,1,0,1,,,0.0,0,0,0,0,0,0,0,0,5615,0,0,5,1,21,0,phishing
62,0,74,0,0,0,0,3,1,1630,0,0,1,,,0.0,0,0,0,1,0,0,0,0,9327,0,4053,5,0,0,0,legitimate
63,0,61,0,0,0,1,3,1,92,0,0,1,Phishing,Suspicious,100.0,0,0,0,1,0,0,0,0,3561,0,6010,4,0,54,0,legitimate
64,0,40,1,0,0,0,3,0,230,0,0,0,,,0.0,0,0,0,0,0,0,0,0,5614,0,0,5,0,0,0,phishing
65,0,52,0,0,0,0,3,1,148,0,0,1,,,0.0,0,0,0,0,0,0,0,0,5408,0,0,1,1,0,1,phishing
66,0,88,1,1,0,0,3,0,2976,0,0,0,Phishing,Legitimate,0.0,0,0,0,1,0,0,0,0,8346,0,1,10,1,1,0,phishing
67,0,74,0,0,0,0,2,1,3253,0,0,1,,Legitimate,83.33333333,0,0,0,1,0,0,0,0,5877,0,24587,5,0,167,0,legitimate
68,0,46,0,0,0,1,2,1,288,1,0,1,Legitimate,Legitimate,7.692307692000001,0,0,0,2,0,0,0,0,2633,0,827,7,1,849,0,legitimate
69,0,54,0,0,0,0,3,1,792,0,0,1,,,0.0,0,0,0,1,0,0,0,0,6512,0,1680566,4,0,0,0,legitimate
70,0,54,0,0,0,1,1,1,0,0,0,1,,,0.0,0,0,0,1,0,0,0,0,-1,0,0,0,1,5,0,phishing
71,0,38,0,0,0,0,2,0,901,0,0,0,Phishing,Legitimate,100.0,0,0,0,0,0,0,0,0,7134,0,12,7,1,385,0,legitimate
72,0,67,0,0,0,0,2,1,102,1,0,1,Suspicious,Suspicious,59.375,0,0,0,0,0,0,0,0,9394,0,1294,6,0,212,0,legitimate
73,0,62,0,0,0,1,3,1,0,0,0,1,,,0.0,0,0,0,0,0,0,0,0,5044,0,0,0,1,0,0,phishing
74,0,59,0,0,0,0,3,1,1078,0,0,1,,,100.0,0,0,0,0,0,0,0,0,2573,0,0,0,1,13,0,phishing
75,0,57,0,0,0,0,3,0,944,0,0,0,,,0.0,0,0,0,0,0,0,0,0,1246,0,7048,4,1,0,0,phishing
76,0,32,0,0,0,1,1,1,50,1,0,1,Legitimate,Legitimate,63.63636364,0,0,0,1,0,0,0,0,2872,0,8400,3,0,44,0,legitimate
77,0,46,0,0,0,0,2,1,212,0,0,1,,,0.0,0,0,0,0,0,0,0,0,4537,0,0,1,1,0,0,phishing
78,0,37,0,0,0,0,2,0,902,0,0,0,Suspicious,Legitimate,100.0,0,0,0,0,0,0,0,0,7133,0,12,7,0,199,0,legitimate
79,0,36,1,0,0,0,2,1,374,1,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,7295,0,0,5,1,14,0,phishing
80,0,52,0,0,0,0,2,1,123,0,0,1,,,0.0,0,0,0,1,0,0,0,0,973,0,8238037,2,1,1,0,phishing
81,1,32,1,0,0,0,2,1,374,1,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,7296,0,0,5,1,5,0,phishing
82,0,34,0,0,0,0,1,0,179,0,0,0,,,50.0,0,0,0,0,0,0,0,0,7491,0,63,10,0,25,0,legitimate
83,0,27,0,0,0,0,3,1,413,1,0,1,,,25.0,0,0,0,0,0,0,0,0,-1,0,479698,2,0,33,0,legitimate
84,1,92,0,0,0,1,2,1,0,0,0,1,,,100.0,0,0,0,0,0,0,0,0,-1,0,0,1,1,11,0,phishing
85,0,102,0,0,0,0,2,1,323,1,0,1,Phishing,Legitimate,61.11111111,0,0,0,1,0,0,0,0,8442,0,43102,5,0,148,0,legitimate
86,0,32,0,0,0,0,2,0,2470,1,0,0,,Legitimate,0.0,0,0,0,0,0,0,0,0,2277,0,2426481,3,0,181,0,legitimate
87,0,29,0,0,0,0,2,0,27,0,0,0,Legitimate,Legitimate,58.33333333,0,0,0,0,0,0,0,0,1800,0,0,3,0,81,0,legitimate
88,0,119,0,0,0,1,3,1,1011,1,0,1,,,82.35294118,0,0,0,0,0,0,0,0,-1,0,0,4,1,98,0,phishing
89,0,59,0,0,0,0,2,0,65,0,0,0,,,97.5,0,0,0,1,0,0,0,0,3952,0,3862928,4,0,129,0,legitimate
90,0,54,0,0,0,0,2,1,258,0,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,4855,0,128132,4,0,98,0,legitimate
91,1,151,0,1,0,0,3,1,201,1,0,1,,,60.0,0,0,0,0,0,0,0,0,166,0,0,0,1,45,0,phishing
92,0,84,0,0,0,0,3,1,654,1,0,1,,,58.82352941,0,0,0,1,0,0,1,0,4093,0,52436,4,0,38,0,legitimate
93,0,55,0,0,0,1,3,1,0,1,0,1,Legitimate,Legitimate,60.0,0,0,0,2,0,0,0,0,-1,0,1080262,2,1,41,0,phishing
94,0,18,0,0,0,0,1,0,0,1,0,0,Phishing,Legitimate,41.66666667,0,0,0,0,0,0,0,0,-1,0,294723,2,0,437,0,legitimate
95,0,39,0,0,0,0,2,0,2808,1,0,0,,,12.5,0,0,0,0,0,0,0,0,8516,0,8,10,0,137,0,legitimate
96,0,28,0,0,0,1,2,0,347,0,0,0,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,7689,0,381695,3,0,218,0,legitimate
97,0,32,0,0,0,1,3,1,295,1,0,1,Legitimate,Legitimate,81.81818182,0,0,0,1,0,0,0,0,5913,0,86462,5,0,31,0,legitimate
98,0,16,0,0,0,0,1,1,0,1,0,1,Suspicious,Phishing,66.66666667,0,0,0,0,0,0,0,0,-1,0,2346124,2,0,139,0,legitimate
99,0,23,0,0,0,0,1,1,241,0,0,1,,,0.0,0,0,0,0,0,0,0,0,4141,0,0,0,1,0,0,phishing
100,0,29,0,0,0,0,3,1,85,1,0,1,Phishing,Phishing,0.0,0,0,0,1,0,0,0,0,4664,0,0,4,0,104,0,legitimate
101,0,29,0,0,0,0,2,0,49,0,0,0,,,100.0,0,0,0,0,0,0,0,0,317,0,0,0,0,124,0,phishing
102,0,41,0,0,0,0,2,0,2009,0,0,0,Legitimate,Legitimate,60.0,0,0,0,0,0,0,0,0,4566,0,44445,5,0,65,0,legitimate
103,0,22,1,0,0,0,1,0,0,0,0,0,Phishing,Phishing,27.27272727,0,0,0,1,0,0,0,0,-1,0,3523,9,1,16,0,phishing
104,0,52,0,0,0,0,3,1,438,0,0,1,,,0.0,0,0,0,0,0,0,0,0,657,0,0,0,1,2,0,phishing
105,0,38,0,0,0,0,3,1,0,0,0,1,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,-1,0,9412550,2,1,1,0,phishing
106,0,30,0,0,0,0,3,0,0,1,0,0,Phishing,Legitimate,9.090909091,0,0,0,1,0,0,0,0,-1,0,0,2,0,77,0,legitimate
107,1,76,0,0,0,1,3,1,25,0,0,1,,,100.0,0,0,0,1,0,0,0,0,3993,0,5707171,0,1,51,0,phishing
108,1,430,0,1,1,0,3,1,0,1,0,1,Legitimate,Legitimate,0.0,0,0,1,1,0,0,0,0,-1,1,0,0,1,21,2,phishing
109,0,37,1,0,0,0,2,1,291,0,0,1,Phishing,Phishing,100.0,0,0,0,1,0,0,0,0,4823,0,212735,4,1,38,0,legitimate
110,0,73,0,0,0,0,3,1,277,0,0,1,Phishing,Legitimate,90.0,0,0,0,1,0,0,0,0,11046,0,545,6,0,61,0,legitimate
111,0,56,0,0,0,0,2,1,347,0,0,1,,,0.0,0,0,0,0,0,0,0,0,2939,0,0,0,1,0,0,phishing
112,0,70,0,0,0,0,1,0,2825,1,0,0,Phishing,Legitimate,0.0,0,0,0,0,0,0,0,0,3385,0,12180,5,1,52,0,legitimate
113,0,70,0,0,0,0,3,1,517,0,0,1,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,7802,0,0,5,1,0,0,phishing
114,0,52,0,0,0,1,2,1,120,0,0,1,Phishing,Legitimate,100.0,0,0,0,2,0,0,0,0,-1,0,241891,5,1,83,0,legitimate
115,0,31,0,0,0,1,2,0,113,1,0,0,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,5366,0,3913090,2,0,24,0,legitimate
116,1,90,1,0,0,0,3,0,79,0,0,0,,,93.33333333,0,0,0,1,0,0,0,0,2112,0,0,1,1,52,0,phishing
117,1,45,0,0,0,0,3,1,150,1,0,1,Legitimate,Phishing,86.66666667,0,0,0,1,0,0,0,0,7156,0,2272,3,0,315,0,legitimate
118,0,55,0,0,0,0,3,1,1164,0,0,1,Legitimate,Suspicious,40.0,0,0,0,0,0,0,0,0,7602,0,145276,4,0,77,0,legitimate
119,0,65,0,0,0,0,3,1,230,0,0,1,,,100.0,0,0,0,0,0,0,0,0,135,0,0,0,1,5,0,phishing
120,0,41,0,0,0,1,2,1,644,1,0,1,,,3.50877193,0,0,0,0,0,0,0,0,1546,0,4669,2,1,184,0,phishing
121,1,71,0,0,0,1,2,0,358,1,0,0,,,6.976744186,0,0,0,0,0,0,0,0,7,0,0,0,1,582,0,phishing
122,0,83,0,0,0,0,2,0,2973,1,0,0,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,8348,0,1,10,1,10,0,phishing
123,1,73,0,0,0,1,1,1,321,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,-1,0,0,0,1,14,0,phishing
124,0,44,0,0,0,0,2,1,182,0,0,1,,,100.0,0,0,0,1,0,0,0,0,184,0,0,0,1,4,0,phishing
125,0,114,0,0,1,1,3,1,154,0,0,1,,,100.0,0,0,0,0,0,0,0,0,2403,0,819233,3,0,1,0,phishing
126,1,127,0,0,0,1,3,0,25,0,0,0,,,100.0,0,0,0,1,0,0,0,0,3992,0,5697976,0,1,51,0,phishing
127,0,99,0,1,0,0,3,1,112,1,0,1,,,50.0,0,0,0,1,0,0,0,0,254,0,0,0,0,32,0,phishing
128,0,56,0,0,0,1,2,1,169,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,6041,0,0,1,1,38,0,phishing
129,0,51,0,0,0,0,3,0,1847,1,0,0,Legitimate,Legitimate,0.0,0,0,0,2,0,0,0,0,7284,0,2788,7,1,147,0,legitimate
130,0,51,0,0,0,0,3,1,0,0,0,1,,,100.0,0,0,0,1,0,0,0,0,-1,0,0,0,1,4,0,phishing
131,0,40,0,0,0,1,2,0,0,0,0,0,,,96.0,0,0,0,1,0,0,0,0,-1,0,1166803,3,0,98,0,legitimate
132,0,33,0,0,0,0,3,1,0,1,0,1,,,91.89189189,0,0,0,1,0,0,0,0,5111,0,5692030,1,1,145,0,phishing
133,0,88,0,0,0,0,2,0,2202,1,0,0,Phishing,,84.21052632,0,0,0,0,0,0,0,0,8024,0,88431,5,0,296,0,legitimate
134,0,122,0,0,0,0,2,0,946,1,0,0,Legitimate,Legitimate,40.0,0,0,0,0,0,0,0,0,5993,0,5488,7,0,161,0,legitimate
135,0,53,0,0,0,0,3,1,237,1,0,1,Legitimate,Legitimate,20.0,0,0,0,1,0,0,0,0,2684,0,188662,4,0,53,0,legitimate
136,0,46,0,0,0,1,3,0,0,0,0,0,,,100.0,0,0,0,1,0,0,0,0,725,0,23941,1,1,3,0,phishing
137,0,36,1,0,0,0,2,1,374,1,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,7295,0,0,5,1,14,0,phishing
138,0,31,0,0,0,0,2,1,264,1,0,1,Legitimate,Legitimate,53.84615385,0,0,0,0,0,0,0,0,3754,0,3847776,4,0,64,0,legitimate
139,0,48,0,0,0,0,2,0,827,1,0,0,Suspicious,Legitimate,7.407407407000001,0,0,0,0,0,0,0,0,5381,0,299694,5,0,154,0,legitimate
140,0,101,0,0,0,0,2,0,275,1,0,0,,,45.45454545,0,0,0,0,0,0,0,0,3743,0,0,2,1,38,0,phishing
141,0,41,0,0,0,0,3,1,62,0,0,1,,,0.0,0,0,0,0,0,0,0,0,5416,0,435027,3,0,0,0,legitimate
142,0,43,0,0,0,0,3,1,290,0,0,1,,,0.0,0,0,0,0,0,0,0,0,1901,0,0,0,1,1,0,phishing
143,0,15,0,0,0,0,1,1,81,0,0,1,,,0.0,0,0,0,0,0,0,0,0,3937,0,0,2,0,0,0,legitimate
144,0,42,0,0,0,0,3,1,1001,0,0,1,Legitimate,Legitimate,100.0,0,0,0,2,0,0,0,0,6668,0,1677903,4,1,37,0,legitimate
145,0,51,0,0,0,0,1,1,3621,1,0,1,Suspicious,Legitimate,50.0,0,0,0,1,0,0,0,0,4413,0,225825,5,0,157,0,legitimate
146,0,48,0,0,0,0,3,1,361,0,0,1,,,0.0,0,0,0,0,0,0,0,0,3983,0,0,0,1,0,0,phishing
147,0,49,0,0,0,0,1,1,304,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,7732,0,81846,5,0,209,0,legitimate
148,0,25,0,0,0,1,1,0,275,0,0,0,,,100.0,0,0,0,0,0,0,0,0,2647,0,0,1,0,22,0,phishing
149,0,49,1,0,0,0,2,0,59,1,0,0,,Legitimate,78.57142857,0,0,0,0,0,0,0,0,9285,0,121,7,0,326,0,legitimate
150,0,48,0,0,0,0,3,1,353,0,0,1,Phishing,Legitimate,89.36170213,0,0,0,1,0,0,0,0,8047,0,1577,5,0,141,0,legitimate
151,0,108,0,1,0,1,3,1,200,0,0,1,,,75.0,0,0,0,1,0,0,0,0,531,0,0,0,1,10,0,phishing
152,0,39,0,0,1,0,2,1,0,0,0,1,,,0.0,0,0,0,0,0,0,0,0,1028,0,0,0,1,0,0,phishing
153,0,80,0,0,0,0,3,1,145,0,0,1,,,83.33333333,0,0,0,2,0,0,0,0,5334,0,1137149,4,1,146,0,legitimate
154,0,36,0,0,0,0,2,1,69,0,0,1,Legitimate,Legitimate,100.0,0,0,0,2,0,0,0,0,7602,0,2368410,4,1,60,0,legitimate
155,0,28,0,0,0,1,2,0,161,1,0,0,,,34.48275862,0,0,0,0,0,0,0,0,6460,0,1119897,4,0,416,0,legitimate
156,0,33,0,0,0,0,2,0,2430,1,0,0,,,0.0,0,0,0,0,0,0,0,0,1953,0,4365,3,1,8,0,phishing
157,0,23,1,0,0,0,3,0,1156,0,0,0,Suspicious,Phishing,55.55555556,0,0,0,0,0,0,0,0,-1,0,7600,4,0,168,0,legitimate
158,0,77,0,0,0,0,2,0,984,1,0,0,Phishing,Legitimate,50.0,0,0,0,0,0,0,0,0,5224,0,137,8,0,319,0,legitimate
159,1,342,0,1,0,0,3,0,0,1,0,0,,,66.66666667,0,0,0,0,0,0,0,0,-1,0,1554194,2,1,31,0,phishing
160,0,38,0,0,0,1,2,0,177,0,0,0,,,100.0,0,0,0,0,0,0,0,0,189,0,0,2,1,3,0,phishing
161,0,73,0,0,0,0,2,1,7,1,0,1,Phishing,Legitimate,44.82758621,0,0,0,2,0,0,0,0,6203,0,38365,5,1,148,0,legitimate
162,0,33,0,0,0,0,2,0,204,1,0,0,Phishing,Legitimate,58.33333333,0,0,0,0,0,0,0,0,5639,0,2,10,0,53,0,legitimate
163,0,67,0,0,0,0,3,1,42,0,0,1,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,1785,0,7811868,2,1,0,0,phishing
164,0,39,0,0,0,0,2,0,873,0,0,0,Legitimate,Legitimate,100.0,0,0,0,1,0,0,0,0,6431,0,15489,5,1,72,0,legitimate
165,0,24,0,0,0,0,2,0,302,1,0,0,,,97.5308642,0,0,0,0,0,0,0,0,2254,0,219358,4,0,323,0,legitimate
166,0,26,0,0,0,0,2,0,0,1,0,0,Legitimate,Phishing,90.90909091,0,0,0,0,0,0,0,0,-1,0,543542,3,0,53,0,legitimate
167,0,39,0,0,0,0,2,0,245,0,0,0,,,0.0,0,0,0,0,0,0,0,0,9253,0,21542,6,0,0,0,legitimate
168,1,62,0,0,0,1,3,1,18,0,0,1,,,0.0,0,0,0,1,0,0,0,0,5825,0,0,0,1,0,2,phishing
169,0,41,0,0,0,0,2,1,292,0,0,1,,,83.33333333,0,0,0,1,0,0,0,0,1899,0,507771,1,1,41,0,phishing
170,0,40,1,0,0,0,2,0,374,1,0,0,,,0.0,0,0,0,0,0,0,0,0,7295,0,0,5,1,14,0,phishing
171,0,51,0,0,0,1,3,1,262,0,0,1,Legitimate,Legitimate,100.0,0,0,0,0,0,0,0,0,4120,0,632334,3,0,8,0,legitimate
172,0,59,1,0,0,0,2,0,366,0,0,0,,,100.0,0,0,0,1,0,0,0,0,3650,0,7053,5,1,665,0,legitimate
173,0,50,0,0,0,0,3,0,3483,1,0,0,Legitimate,Legitimate,0.0,0,0,0,0,0,0,0,0,8044,0,2580,6,0,77,0,legitimate
174,0,52,0,0,0,1,2,1,0,1,0,1,Legitimate,Legitimate,81.81818182,0,0,0,1,0,0,0,0,6831,1,0,0,1,103,0,phishing
175,0,43,0,0,0,1,2,1,114,1,0,1,,,0.0,0,0,0,1,0,0,0,0,3904,0,0,0,1,21,0,phishing
176,0,94,0,0,0,0,3,1,278,1,0,1,Legitimate,Legitimate,0.0,0,0,0,1,0,0,0,0,4183,0,0,3,1,57,0,phishing
177,0,60,0,0,0,0,3,1,519,0,0,1,,,100.0,0,0,0,1,0,0,0,0,2403,0,62284,3,0,77,0,legitimate
178,0,18,0,0,0,0,1,1,0,1,0,1,Legitimate,Suspicious,85.71428571,0,0,0,1,0,0,0,0,-1,0,1111694,2,0,105,0,legitimate
179,0,204,1,0,0,0,2,0,3353,1,0,0,,,40.0,0,0,0,0,0,0,0,0,7968,0,892,7,0,12,0,phishing
180,1,94,1,1,0,0,3,0,2975,0,0,0,Phishing,Legitimate,0.0,0,0,0,1,0,0,0,0,8346,0,1,10,0,1,0,phishing
181,0,41,0,0,0,1,3,1,170,0,0,1,,,87.5,0,0,0,2,0,0,0,0,-1,0,0,0,1,20,0,phishing
182,0,19,0,0,0,0,2,1,307,0,0,1,,,100.0,0,0,0,0,0,0,0,0,1154,0,0,0,1,45,0,phishing
183,0,35,0,0,0,1,2,1,44,0,0,1,,,0.0,0,0,0,0,0,0,0,0,3608,0,0,0,1,0,0,phishing
